Date,Price,Open,High,Low,Vol.,Change %,Year,Month,Day,year
2016-03-10,11.75,11.2,11.85,11.07,0.0,4.91,2016,Mar,Thursday,2016
2016-03-11,11.95,11.75,11.95,11.75,0.00018,1.7,2016,Mar,Friday,2016
2016-03-12,12.92,11.95,13.45,11.95,0.00083,8.12,2016,Mar,Saturday,2016
2016-03-13,15.07,12.92,15.07,12.92,0.0013,16.64,2016,Mar,Sunday,2016
2016-03-14,12.5,15.07,15.07,11.4,0.09218,-17.05,2016,Mar,Monday,2016
2016-03-15,13.06,12.63,13.42,11.98,0.03973,4.48,2016,Mar,Tuesday,2016
2016-03-16,12.88,13.06,13.89,12.62,0.01924,-1.38,2016,Mar,Wednesday,2016
2016-03-17,10.74,12.58,12.61,10.44,0.08945,-16.61,2016,Mar,Thursday,2016
2016-03-18,10.74,11.09,11.2,8.34,0.15737,0.0,2016,Mar,Friday,2016
2016-03-19,10.31,10.97,11.1,9.78,0.06755,-4.0,2016,Mar,Saturday,2016
2016-03-20,10.18,10.55,10.88,9.56,0.03318,-1.26,2016,Mar,Sunday,2016
2016-03-21,11.95,10.18,12.05,10.14,0.03886,17.39,2016,Mar,Monday,2016
2016-03-22,11.37,11.53,11.97,11.08,0.02629,-4.85,2016,Mar,Tuesday,2016
2016-03-23,12.43,11.37,12.43,11.2,0.02702,9.32,2016,Mar,Wednesday,2016
2016-03-24,11.2,12.43,12.47,10.67,0.0508,-9.9,2016,Mar,Thursday,2016
2016-03-25,10.67,11.32,11.35,10.52,0.08742,-4.73,2016,Mar,Friday,2016
2016-03-26,11.0,10.67,11.2,10.58,0.016120000000000002,3.09,2016,Mar,Saturday,2016
2016-03-27,10.4,10.93,10.98,10.17,0.05581,-5.45,2016,Mar,Sunday,2016
2016-03-28,11.62,10.4,11.94,10.4,0.07731,11.73,2016,Mar,Monday,2016
2016-03-29,11.79,11.78,11.88,11.37,0.04757,1.46,2016,Mar,Tuesday,2016
2016-03-30,11.85,11.79,12.3,11.44,0.03696,0.51,2016,Mar,Wednesday,2016
2016-03-31,11.41,11.92,12.02,11.29,0.03267,-3.71,2016,Mar,Thursday,2016
2016-04-01,11.62,11.41,11.94,11.39,0.0222,1.84,2016,Apr,Friday,2016
2016-04-02,11.61,11.65,11.77,11.43,0.01217,-0.09,2016,Apr,Saturday,2016
2016-04-03,11.75,11.61,11.76,11.4,0.01885,1.21,2016,Apr,Sunday,2016
2016-04-04,11.15,11.6,11.67,10.88,0.03874,-5.11,2016,Apr,Monday,2016
2016-04-05,10.4,11.15,11.15,9.7,0.05339,-6.73,2016,Apr,Tuesday,2016
2016-04-06,10.76,10.4,10.96,10.2,0.04004,3.46,2016,Apr,Wednesday,2016
2016-04-07,10.12,10.76,10.85,9.4,0.05074,-5.95,2016,Apr,Thursday,2016
2016-04-08,9.71,10.05,10.34,9.6,0.02597,-4.05,2016,Apr,Friday,2016
2016-04-10,8.76,9.15,9.43,7.52,0.17199,-4.26,2016,Apr,Sunday,2016
2016-04-11,8.68,8.56,8.93,8.01,0.06028,-0.91,2016,Apr,Monday,2016
2016-04-12,7.53,8.53,8.54,7.21,0.06382,-13.25,2016,Apr,Tuesday,2016
2016-04-13,8.09,7.48,8.8,6.86,0.14221,7.44,2016,Apr,Wednesday,2016
2016-04-15,8.32,8.39,8.69,8.1,0.03048,-1.65,2016,Apr,Friday,2016
2016-04-16,8.54,8.23,8.68,8.18,0.02926,2.64,2016,Apr,Saturday,2016
2016-04-17,9.46,8.7,10.9,8.61,0.09605,10.77,2016,Apr,Sunday,2016
2016-04-18,8.97,9.3,9.55,8.44,0.03788,-5.18,2016,Apr,Monday,2016
2016-04-19,8.71,8.97,9.38,8.65,0.03526,-2.9,2016,Apr,Tuesday,2016
2016-04-20,8.61,8.73,9.05,8.35,0.16771,-1.15,2016,Apr,Wednesday,2016
2016-04-22,7.97,8.23,8.41,7.73,0.09737,-1.73,2016,Apr,Friday,2016
2016-04-23,8.46,7.95,8.8,7.81,0.08957,6.15,2016,Apr,Saturday,2016
2016-04-24,8.1,8.35,8.5,8.01,0.05206,-4.26,2016,Apr,Sunday,2016
2016-04-25,7.54,8.05,8.15,7.32,0.20706,-6.91,2016,Apr,Monday,2016
2016-04-26,7.5,7.56,7.6,7.12,0.12927000000000002,-0.53,2016,Apr,Tuesday,2016
2016-04-27,7.8,7.4,7.99,7.31,0.09046,4.0,2016,Apr,Wednesday,2016
2016-04-28,7.33,7.73,7.87,7.25,0.0694,-6.03,2016,Apr,Thursday,2016
2016-04-29,7.52,7.23,7.72,7.19,0.05116,2.59,2016,Apr,Friday,2016
2016-04-30,8.87,7.45,9.36,7.45,0.26797,17.95,2016,Apr,Saturday,2016
2016-05-02,10.0,8.83,10.3,8.79,0.29538,14.29,2016,May,Monday,2016
2016-05-03,9.34,10.01,10.01,9.18,0.12832,-6.6,2016,May,Tuesday,2016
2016-05-04,9.46,9.38,10.0,9.25,0.0747,1.28,2016,May,Wednesday,2016
2016-05-05,9.79,9.4,10.0,9.3,0.06244,3.49,2016,May,Thursday,2016
2016-05-06,9.35,9.85,9.98,9.12,0.09242,-4.49,2016,May,Friday,2016
2016-05-07,9.35,9.45,9.64,9.2,0.03139,0.0,2016,May,Saturday,2016
2016-05-09,9.32,9.51,9.65,9.25,0.07729,-1.89,2016,May,Monday,2016
2016-05-10,9.38,9.31,9.47,9.28,0.01832,0.64,2016,May,Tuesday,2016
2016-05-11,9.89,9.38,9.98,9.3,0.11031,5.44,2016,May,Wednesday,2016
2016-05-12,10.04,9.92,10.47,9.79,0.14219,1.52,2016,May,Thursday,2016
2016-05-13,10.6,10.09,11.11,10.08,0.19428,5.58,2016,May,Friday,2016
2016-05-14,10.16,10.6,10.75,9.71,0.12186,-4.15,2016,May,Saturday,2016
2016-05-15,9.97,10.25,10.42,9.93,0.04273,-1.87,2016,May,Sunday,2016
2016-05-16,11.09,10.01,11.47,10.0,0.25721,11.23,2016,May,Monday,2016
2016-05-17,12.08,11.15,12.6,11.1,0.54097,8.93,2016,May,Tuesday,2016
2016-05-18,13.35,12.28,14.4,12.21,0.42007,10.51,2016,May,Wednesday,2016
2016-05-19,14.58,13.4,14.65,13.2,0.39314,9.21,2016,May,Thursday,2016
2016-05-20,13.79,14.74,14.89,13.31,0.33869,-5.42,2016,May,Friday,2016
2016-05-21,14.0,13.6,14.0,13.01,0.20903,1.52,2016,May,Saturday,2016
2016-05-22,14.21,14.06,14.51,13.62,0.11819,1.5,2016,May,Sunday,2016
2016-05-23,13.42,14.21,14.49,13.32,0.17009,-5.56,2016,May,Monday,2016
2016-05-24,12.73,13.38,13.82,12.0,0.43747,-5.14,2016,May,Tuesday,2016
2016-05-25,12.49,12.84,12.99,11.8,0.24758,-1.89,2016,May,Wednesday,2016
2016-05-26,12.48,12.52,13.07,12.13,0.21564,-0.08,2016,May,Thursday,2016
2016-05-27,11.12,12.4,12.43,10.53,0.64584,-10.9,2016,May,Friday,2016
2016-05-28,11.98,10.99,12.5,10.38,0.58707,7.73,2016,May,Saturday,2016
2016-05-29,12.41,11.8,12.89,11.78,0.45511,3.59,2016,May,Sunday,2016
2016-05-30,12.72,12.44,12.81,12.3,0.12298,2.5,2016,May,Monday,2016
2016-05-31,14.01,12.78,14.28,12.6,0.51798,10.14,2016,May,Tuesday,2016
2016-06-01,13.85,14.07,14.3,13.46,0.28963,-1.14,2016,Jun,Wednesday,2016
2016-06-02,13.8,13.94,14.03,13.61,0.15553,-0.36,2016,Jun,Thursday,2016
2016-06-03,13.84,13.82,13.99,13.42,0.20081,0.29,2016,Jun,Friday,2016
2016-06-04,13.81,13.9,13.9,13.4,0.13912,-0.22,2016,Jun,Saturday,2016
2016-06-05,13.95,13.75,13.97,13.69,0.05466,1.01,2016,Jun,Sunday,2016
2016-06-06,14.03,14.0,14.19,13.8,0.10555,0.57,2016,Jun,Monday,2016
2016-06-07,14.5,13.94,14.7,13.88,0.19989,3.35,2016,Jun,Tuesday,2016
2016-06-08,14.49,14.6,14.89,14.3,0.25701,-0.07,2016,Jun,Wednesday,2016
